ID:;Name:;Internal name:;Japanese name:;Fake:;Capacity:;Last appearance:
71;De Kuip;st071;デ・カイプ;;51177;PES 2020
74;Estadio Alejandro Villanueva;st074;エスタディオ・アレハンドロ・ビジャヌエバ;;35000;PES 2020
78;Unknown;st078;;UNK;;PES 2020
79;Estádio Palestra Italia;st079;エスタジオ・パレストラ・イタリア;;27650;PES 2020
80;eFootball.Pro Arena;st080;eFootball.Pro アレーナ;✔;41000;PES 2020
81;Arena do Grêmio;st081;アレーナ・ド・グレミオ;;60540;PES 2020
82;Gazprom Arena;st082;ガスプロム・アリーナ;;68000;PES 2020
83;Wembley Stadium;st083;ウェンブリー・スタジアム;*;90000;PES 2020
85;Futur Camp Nou;;;*;;eFootball
86;ARENA MRV;;アレーナ・MRV;;68000;PES 2020
87;Stadio Olimpico (S.S Lazio);;スタディオ・オリンピコ (S.S. ラツィオ);*;68000;PES 2020
88;Gewiss Stadium;;ゲヴィス・スタジアム;;68000;PES 2020
89;Estadio Azteca;;エスタディオ・アステカ;;68000;PES 2020
90;U-Power Stadium;;U-Power スタジアム;;10000;eFootball
91;Estadio AKRON;;エスタディオ・アクロン;;49850;eFootball
92;Estadio Universitario | El Volcán;;エスタディオ・ウニベルシタリオ | エル・ヴォルカン;;45000;eFootball
93;Sugoroku Stadium;;スゴロク　スタジアム;✔;0;eFootball
94;Estadio Olímpico Universitario;;エスタディオ・オリンピコ・ウニベルシタリオ;;72000;eFootball
95;Temporary Stadium 01;;仮設スタジアム01;✔;100000;eFootball
96;Temporary Stadium 02;;仮設スタジアム02;✔;0;eFootball
97;eFootball™ Stadium;st060;eFootball™ スタジアム;✔;78000;eFootball
